HOLEID,PROJECTCODE,DEPTH,AZIMUTH,DIP,SURVTYPE
"LK-0900","SURFACE",126,262.75,-88.8,"SGL SHOT"
"LK-0901","SURFACE",0,180,-80,"SET-UP"
"LK-0901","SURFACE",50,183.15,-79,"TRO-PARI"
"LK-0901","SURFACE",100,183.15,-79,"TRO-PARI"
"LK-0901","SURFACE",200,203.15,-80,"TRO-PARI"
"LK-0902","SURFACE",0,316.45,-90,"SET-UP"
"LK-0902","SURFACE",62,316.45,-89.1,"SGL SHOT"
"LK-0902","SURFACE",128,284.15,-89,"SGL SHOT"
"LK-0903","SURFACE",0,173.45,-90,"SET-UP"
"LK-0903","SURFACE",64,173.45,-89.8,"SGL SHOT"
"LK-0903","SURFACE",130,11.55,-89.7,"SGL SHOT"
"LK-0904","SURFACE",0,149.15,-90,"SET-UP"
"LK-0904","SURFACE",70,149.15,-88.8,"SGL SHOT"
"LK-0904","SURFACE",133,131.95,-88.7,"SGL SHOT"
"LK-0905","SURFACE",0,187.15,-90,"SET-UP"
"LK-0905","SURFACE",37,187.15,-89,"TRO-PARI"
"LK-0905","SURFACE",82,175.15,-89,"TRO-PARI"
"LK-0905","SURFACE",133,20.15,-87,"TRO-PARI"
"LK-0906","SURFACE",0,0,-90,"SET-UP"
"LK-0906","SURFACE",110,0,-90,"TRO-PARI"
"LK-0906","SURFACE",208,14.15,-89,"TRO-PARI"
"LK-0907","SURFACE",0,303.65,-90,"SET-UP"
"LK-0907","SURFACE",64,303.65,-89.3,"SGL SHOT"
"LK-0907","SURFACE",124,309.75,-89.4,"SGL SHOT"
"LK-0908","SURFACE",0,42.15,-90,"SET-UP"
"LK-0908","SURFACE",90,42.15,-89,"TRO-PARI"
"LK-0908","SURFACE",130,42.15,-89,"TRO-PARI"
"LK-0908","SURFACE",157,43.15,-89,"TRO-PARI"
"LK-0909","SURFACE",0,91.15,-90,"SET-UP"
"LK-0909","SURFACE",37,91.15,-89,"TRO-PARI"
"LK-0909","SURFACE",79,46.15,-89,"TRO-PARI"
"LK-0909","SURFACE",115,119.15,-89,"TRO-PARI"
"LK-0910","SURFACE",0,213.15,-90,"SET-UP"
"LK-0910","SURFACE",50,213.15,-89,"TRO-PARI"
"LK-0910","SURFACE",100,223.15,-89,"TRO-PARI"
"LK-0910","SURFACE",149,213.15,-87,"TRO-PARI"
"LK-0911","SURFACE",0,100.85,-90,"SET-UP"
"LK-0911","SURFACE",60,100.85,-88.3,"SGL SHOT"
"LK-0911","SURFACE",128,164.45,-88,"SGL SHOT"
"LK-0912","SURFACE",0,0,-90,"SET-UP"
"LK-0912","SURFACE",112,0,-90,"TRO-PARI"
"LK-0912","SURFACE",160,0,-90,"TRO-PARI"
"LK-0912","SURFACE",202,0,-90,"TRO-PARI"
"LK-0913","SURFACE",0,162.35,-90,"SET-UP"
"LK-0913","SURFACE",117,162.35,-85.5,"SGL SHOT"
"LK-0913","SURFACE",203,210.15,-82.3,"SGL SHOT"
"LK-0914","SURFACE",0,341.15,-90,"SET-UP"
"LK-0914","SURFACE",79,341.15,-89,"TRO-PARI"
"LK-0914","SURFACE",163,26.15,-89,"TRO-PARI"
"LK-0914","SURFACE",208,16.15,-88,"TRO-PARI"
"LK-0915","SURFACE",0,0,-90,"SET-UP"
"LK-0915","SURFACE",112,0,-90,"TRO-PARI"
"LK-0915","SURFACE",160,0,-90,"TRO-PARI"
"LK-0915","SURFACE",202,0,-90,"TRO-PARI"
"LK-0916","SURFACE",0,180,-78,"SET-UP"
"LK-0916","SURFACE",76,186.25,-77.9,"SGL SHOT"
"LK-0916","SURFACE",148,183.55,-78.7,"SGL SHOT"
"LK-0917","SURFACE",0,0,-90,"SET-UP"
"LK-0917","SURFACE",69,0.15,-89.3,"SGL SHOT"
"LK-0917","SURFACE",142,28.65,-88.9,"SGL SHOT"
"LK-0917","SURFACE",169.8,22.75,-89.3,"SGL SHOT"
"LK-0918","SURFACE",0,89.95,-60,"SET-UP"
"LK-0918","SURFACE",60,89.95,-59.3,"SGL SHOT"
"LK-0918","SURFACE",230,91.45,-59.5,"SGL SHOT"
"LK-0918","SURFACE",244,92.95,-59.8,"SGL SHOT"
"LK-0919","SURFACE",0,25.25,-90,"SET-UP"
"LK-0919","SURFACE",70,25.25,-88.8,"SGL SHOT"
"LK-0919","SURFACE",130,62.45,-88.9,"SGL SHOT"
"LK-0919","SURFACE",185,33.45,-88.9,"SGL SHOT"
"LK-0920","SURFACE",0,308.55,-90,"SET-UP"
"LK-0920","SURFACE",76,308.55,-89.6,"SGL SHOT"
"LK-0920","SURFACE",142,318.35,-89,"SGL SHOT"
"LK-0920","SURFACE",208,300.15,-88.7,"SGL SHOT"
"LK-0921","SURFACE",0,14.15,-90,"SET-UP"
"LK-0921","SURFACE",50,14.15,-89,"TRO-PARI"
"LK-0921","SURFACE",97,14.15,-87,"TRO-PARI"
"LK-0922","SURFACE",0,180,-80,"SET-UP"
"LK-0922","SURFACE",50,178.15,-81,"TRO-PARI"
"LK-0922","SURFACE",100,178.15,-82,"TRO-PARI"
"LK-0922","SURFACE",152,178.15,-81,"TRO-PARI"
"LK-0923","SURFACE",0,0,-90,"SET-UP"
"LK-0923","SURFACE",22,0,-90,"TRO-PARI"
"LK-0923","SURFACE",103,20.15,-89,"TRO-PARI"
"LK-0924","SURFACE",0,120.15,-90,"SET-UP"
"LK-0924","SURFACE",77,120.15,-88.4,"SGL SHOT"
"LK-0924","SURFACE",150,123.25,-88.1,"SGL SHOT"
"LK-0924","SURFACE",237,92.95,-88.1,"SGL SHOT"
"LK-0925","SURFACE",0,90,-76,"SET-UP"
"LK-0925","SURFACE",60,91.45,-74.4,"SGL SHOT"
"LK-0925","SURFACE",130,95.35,-75.2,"SGL SHOT"
"LK-0925","SURFACE",211,100.35,-74.8,"SGL SHOT"
"LK-0926","SURFACE",0,16.15,-90,"SET-UP"
"LK-0926","SURFACE",121,16.15,-89,"TRO-PARI"
"LK-0926","SURFACE",211,16.15,-89,"TRO-PARI"
"LK-0926","SURFACE",217,16.15,-89,"TRO-PARI"
"LK-0927","SURFACE",0,55.15,-90,"SET-UP"
"LK-0927","SURFACE",67,55.15,-88,"TRO-PARI"
"LK-0927","SURFACE",130,47.15,-89,"TRO-PARI"
"LK-0927","SURFACE",203,60.15,-88,"TRO-PARI"
"LK-0928","SURFACE",0,44.45,-90,"SET-UP"
"LK-0928","SURFACE",128,44.45,-89.5,"SGL SHOT"
"LK-0928","SURFACE",215,33.85,-89.5,"SGL SHOT"
"LK-0929","SURFACE",0,270,-80,"SET-UP"
"LK-0929","SURFACE",100,271.15,-80,"TRO-PARI"
"LK-0929","SURFACE",193,271.15,-78,"TRO-PARI"
"LK-0930","SURFACE",0,0,-90,"SET-UP"
"LK-0930","SURFACE",149,5.25,-88.3,"SGL SHOT"
"LK-0931","SURFACE",0,90,-73,"SET-UP"
"LK-0931","SURFACE",60,91.25,-71.7,"SGL SHOT"
"LK-0931","SURFACE",130,92.35,-72.5,"SGL SHOT"
"LK-0931","SURFACE",215,90.95,-73,"SGL SHOT"
"LK-0932","SURFACE",0,0,-90,"SET-UP"
"LK-0932","SURFACE",100,0,-90,"TRO-PARI"
"LK-0932","SURFACE",198,0,-90,"TRO-PARI"
"LK-0933","SURFACE",0,0,-90,"SET-UP"
"LK-0933","SURFACE",100,43.15,-87,"TRO-PARI"
"LK-0933","SURFACE",130,43.15,-87,"TRO-PARI"
"LK-0933","SURFACE",166,44.15,-86,"TRO-PARI"
"LK-0934","SURFACE",0,98.65,-90,"SET-UP"
"LK-0934","SURFACE",74,98.65,-89.2,"SGL SHOT"
"LK-0934","SURFACE",146,5.55,-89.6,"SGL SHOT"
"LK-0934","SURFACE",203,10.45,-89.5,"SGL SHOT"
"LK-0935","SURFACE",0,215.85,-90,"SET-UP"
"LK-0935","SURFACE",80,215.85,-88.3,"SGL SHOT"
"LK-0935","SURFACE",140,205.15,-88.5,"SGL SHOT"
"LK-0935","SURFACE",212,217.95,-88.7,"SGL SHOT"
"LK-0936","SURFACE",0,270,-82,"SET-UP"
"LK-0936","SURFACE",50,268.15,-81,"TRO-PARI"
"LK-0936","SURFACE",100,268.15,-80,"TRO-PARI"
"LK-0936","SURFACE",155,273.15,-80,"TRO-PARI"
"LK-0937","SURFACE",0,90,-85,"SET-UP"
"LK-0937","SURFACE",56,101.55,-83.4,"SGL SHOT"
"LK-0937","SURFACE",128,107.05,-83.5,"SGL SHOT"
"LK-0937","SURFACE",206,109.25,-84.6,"SGL SHOT"
"LK-0938","SURFACE",0,296.15,-90,"SET-UP"
"LK-0938","SURFACE",61,296.15,-88,"TRO-PARI"
"LK-0938","SURFACE",139,309.15,-88,"TRO-PARI"
"LK-0938","SURFACE",165,318.15,-87,"TRO-PARI"
"LK-0938","SURFACE",192,341.15,-86,"TRO-PARI"
"LK-0939","SURFACE",0,346.65,-90,"SET-UP"
"LK-0939","SURFACE",60,346.65,-88,"SGL SHOT"
"LK-0939","SURFACE",100,349.15,-88,"SGL SHOT"
"LK-0939","SURFACE",150,340.15,-87.9,"SGL SHOT"
"LK-0939","SURFACE",200,340.85,-88,"SGL SHOT"
"LK-0940","SURFACE",0,0,-90,"SET-UP"
"LK-0940","SURFACE",100,0,-90,"TRO-PARI"
"LK-0940","SURFACE",145,0,-90,"TRO-PARI"
"LK-0940","SURFACE",187,0,-90,"TRO-PARI"
"LK-0941","SURFACE",0,133.15,-90,"SET-UP"
"LK-0941","SURFACE",50,133.15,-88,"TRO-PARI"
"LK-0941","SURFACE",100,163.15,-88,"TRO-PARI"
"LK-0941","SURFACE",155,153.15,-87,"TRO-PARI"
"LK-0942","SURFACE",0,58.15,-90,"SET-UP"
"LK-0942","SURFACE",60,58.15,-88,"TRO-PARI"
"LK-0942","SURFACE",160,58.15,-87,"TRO-PARI"
"LK-0943","SURFACE",0,90,-80,"SET-UP"
"LK-0943","SURFACE",80,88.45,-79.3,"SGL SHOT"
"LK-0943","SURFACE",134,87.15,-79.4,"SGL SHOT"
"LK-0943","SURFACE",203,87.75,-80,"SGL SHOT"
"LK-0944","SURFACE",0,304.25,-90,"SET-UP"
"LK-0944","SURFACE",60,304.25,-88.7,"SGL SHOT"
"LK-0944","SURFACE",120,285.15,-88.8,"SGL SHOT"
"LK-0944","SURFACE",202,358.75,-89.2,"SGL SHOT"
"LK-0945","SURFACE",0,145.55,-90,"SET-UP"
"LK-0945","SURFACE",70,145.55,-90,"SGL SHOT"
"LK-0945","SURFACE",118,271.35,-89.7,"SGL SHOT"
"LK-0945","SURFACE",166,147.35,-89.6,"SGL SHOT"
"LK-0945","SURFACE",214,187.75,-89.8,"SGL SHOT"
"LK-0946","SURFACE",0,275.55,-90,"SET-UP"
"LK-0946","SURFACE",77,275.55,-87,"SGL SHOT"
"LK-0946","SURFACE",137,102.85,-88,"SGL SHOT"
"LK-0946","SURFACE",197,96.25,-87.8,"SGL SHOT"
"LK-0947","SURFACE",0,17.95,-90,"SET-UP"
"LK-0947","SURFACE",60,17.95,-88.7,"SGL SHOT"
"LK-0947","SURFACE",113,37.65,-88.7,"SGL SHOT"
"LK-0947","SURFACE",161,21.25,-88,"SGL SHOT"
"LK-0947","SURFACE",209,58.35,-88.4,"SGL SHOT"
"LK-0948","SURFACE",0,169.15,-90,"SET-UP"
"LK-0948","SURFACE",48,169.15,-89.9,"SGL SHOT"
"LK-0948","SURFACE",102,169.55,-89.6,"SGL SHOT"
"LK-0948","SURFACE",150,146.65,-89.6,"SGL SHOT"
"LK-0948","SURFACE",198,151.55,-89.5,"SGL SHOT"
"LK-0949","SURFACE",0,99.65,-90,"SET-UP"
"LK-0949","SURFACE",70,99.65,-88.6,"SGL SHOT"
"LK-0949","SURFACE",118,97.35,-89,"SGL SHOT"
"LK-0949","SURFACE",166,125.05,-88,"SGL SHOT"
"LK-0949","SURFACE",214,132.05,-87.6,"SGL SHOT"
"LK-0950","SURFACE",0,23.15,-90,"SET-UP"
"LK-0950","SURFACE",60,23.15,-88,"TRO-PARI"
"LK-0950","SURFACE",119,23.15,-87,"TRO-PARI"
"LK-0951","SURFACE",0,0,-90,"SET-UP"
"LK-0951","SURFACE",61,0,-90,"TRO-PARI"
"LK-0951","SURFACE",145,0,-90,"TRO-PARI"
"LK-0951","SURFACE",226,0,-90,"TRO-PARI"
"LK-0952","SURFACE",0,69.15,-90,"SET-UP"
"LK-0952","SURFACE",105,69.15,-89,"TRO-PARI"
"LK-0952","SURFACE",154,70.15,-89,"TRO-PARI"
"LK-0952","SURFACE",199,70.15,-89,"TRO-PARI"
"LK-0953","SURFACE",0,0,-90,"SET-UP"
"LK-0953","SURFACE",60,0,-90,"TRO-PARI"
"LK-0953","SURFACE",120,29.15,-88,"TRO-PARI"
"LK-0953","SURFACE",209,29.15,-87,"TRO-PARI"
"LK-0953","SURFACE",215,16.15,-88,"TRO-PARI"
"LK-0954","SURFACE",0,16.3,-90,"SET-UP"
"LK-0954","SURFACE",238,16.3,-88,"TRO-PARI"
"LK-0955","SURFACE",0,183.3,-84,"SET-UP"
"LK-0955","SURFACE",50,183.3,-85,"TRO-PARI"
"LK-0955","SURFACE",100,188.3,-86,"TRO-PARI"
"LK-0955","SURFACE",167,188.3,-87,"TRO-PARI"
"LK-0956","SURFACE",0,9.7,-73,"SET-UP"
"LK-0956","SURFACE",134,9.7,-73.3,"SGL SHOT"
"LK-0956","SURFACE",176,9.7,-74.4,"SGL SHOT"
"LK-0956","SURFACE",224,10,-74.3,"SGL SHOT"
"LK-0957","SURFACE",0,5.4,-79,"SET-UP"
"LK-0957","SURFACE",50,5.4,-78,"SGL SHOT"
"LK-0957","SURFACE",100,11,-77.7,"SGL SHOT"
"LK-0957","SURFACE",160,11.4,-78.4,"SGL SHOT"
"LK-0957","SURFACE",220,13.5,-78.5,"SGL SHOT"
"LK-0958","SURFACE",0,285.3,-90,"SET-UP"
"LK-0958","SURFACE",59,285.3,-89.3,"SGL SHOT"
"LK-0958","SURFACE",109,256.5,-88.5,"SGL SHOT"
"LK-0958","SURFACE",159,293.6,-88.7,"SGL SHOT"
"LK-0958","SURFACE",209,290.8,-89.2,"SGL SHOT"
"LK-0959","SURFACE",0,0,-90,"SET-UP"
"LK-0959","SURFACE",199,0,-90,"TRO-PARI"
"LK-0960","SURFACE",0,0,-90,"SET-UP"
"LK-0960","SURFACE",199,0,-90,"TRO-PARI"
"LK-0961","SURFACE",0,48.9,-87.3,"SGL SHOT"
"LK-0961","SURFACE",55.6,48.9,-87.3,"SGL SHOT"
"LK-0961","SURFACE",56,62.6,-86.5,"SGL SHOT"
"LK-0961","SURFACE",69,62.3,-86.5,"SGL SHOT"
"LK-0962","SURFACE",0,28.2,-90,"SET-UP"
"LK-0962","SURFACE",60,28.2,-89.6,"SGL SHOT"
"LK-0962","SURFACE",100,308,-89.2,"SGL SHOT"
"LK-0962","SURFACE",150,102.8,-88.6,"SGL SHOT"
"LK-0962","SURFACE",200,251.7,-89.6,"SGL SHOT"
"LK-0963","SURFACE",0,179.2,-90,"SET-UP"
"LK-0963","SURFACE",76,179.2,-88.7,"SGL SHOT"
"LK-0963","SURFACE",124,189,-88.9,"SGL SHOT"
"LK-0963","SURFACE",175,190.4,-88.1,"SGL SHOT"
"LK-0963","SURFACE",229.6,163.1,-89.2,"SGL SHOT"
"LK-0964","SURFACE",0,163.3,-90,"SET-UP"
"LK-0964","SURFACE",60,163.3,-88,"TRO-PARI"
"LK-0964","SURFACE",120,153.3,-88,"TRO-PARI"
"LK-0964","SURFACE",180,153.3,-89,"TRO-PARI"
"LK-0964","SURFACE",242,153.3,-89,"TRO-PARI"
"LK-0965","SURFACE",0,20.3,-90,"SET-UP"
"LK-0965","SURFACE",50,20.3,-89,"TRO-PARI"
"LK-0965","SURFACE",110,20.3,-87,"TRO-PARI"
"LK-0965","SURFACE",170,20.3,-88,"TRO-PARI"
"LK-0965","SURFACE",236,20.3,-88,"TRO-PARI"
"LK-0966","SURFACE",0,62.3,-90,"SET-UP"
"LK-0966","SURFACE",61,62.3,-90,"TRO-PARI"
"LK-0966","SURFACE",130,316.3,-90,"TRO-PARI"
"LK-0966","SURFACE",196,184.3,-89,"TRO-PARI"
"LK-0967","SURFACE",0,191.4,-90,"SET-UP"
"LK-0967","SURFACE",68,191.4,-89.6,"SGL SHOT"
"LK-0967","SURFACE",130,121.1,-89.7,"SGL SHOT"
"LK-0967","SURFACE",188,13,-89.6,"SGL SHOT"
"LK-0968","SURFACE",0,333.9,-90,"SET-UP"
"LK-0968","SURFACE",62,333.9,-88.8,"SGL SHOT"
"LK-0968","SURFACE",106,344.7,-88.6,"SGL SHOT"
"LK-0968","SURFACE",150,11.9,-88.8,"SGL SHOT"
"LK-0968","SURFACE",194,337.6,-88.8,"SGL SHOT"
"LK-0969","SURFACE",0,144.6,-90,"SET-UP"
"LK-0969","SURFACE",50,144.6,-88.4,"SGL SHOT"
"LK-0969","SURFACE",100,182.2,-88.6,"SGL SHOT"
"LK-0969","SURFACE",150,169.6,-88.3,"SGL SHOT"
"LK-0969","SURFACE",206,148.9,-88.8,"SGL SHOT"
"LK-0969","SURFACE",275,151.4,-88.5,"SGL SHOT"
"LK-0970","SURFACE",0,318.3,-90,"SET-UP"
"LK-0970","SURFACE",111,318.3,-89,"TRO-PARI"
"LK-0970","SURFACE",148,318.3,-89,"TRO-PARI"
"LK-0970","SURFACE",187,319.3,-89,"TRO-PARI"
"LK-0971","SURFACE",0,0,-90,"SET-UP"
"LK-0972","SURFACE",0,209.4,-90,"SET-UP"
"LK-0972","SURFACE",50,209.4,-88.9,"SGL SHOT"
"LK-0972","SURFACE",100,198.5,-89.1,"SGL SHOT"
"LK-0972","SURFACE",150,220.9,-88.9,"SGL SHOT"
"LK-0972","SURFACE",215,225.4,-89,"SGL SHOT"
"LK-0973","SURFACE",0,144.6,-90,"SET-UP"
"LK-0973","SURFACE",65,144.6,-89,"SGL SHOT"
"LK-0973","SURFACE",119,104.4,-89.9,"SGL SHOT"
"LK-0973","SURFACE",173,93.7,-89.3,"SGL SHOT"
"LK-0973","SURFACE",223,115.5,-88.5,"SGL SHOT"
"LK-0973","SURFACE",273,109.7,-88.3,"SGL SHOT"
"LK-0974","SURFACE",0,220,-90,"SET-UP"
"LK-0974","SURFACE",40,220,-89.4,"SGL SHOT"
"LK-0974","SURFACE",90,233.9,-89.4,"SGL SHOT"
"LK-0974","SURFACE",140,230.3,-89.4,"SGL SHOT"
"LK-0974","SURFACE",190,200,-89.4,"SGL SHOT"
"LK-0974","SURFACE",240,151,-89,"SGL SHOT"
"LK-0975","SURFACE",0,222,-90,"SET-UP"
"LK-0975","SURFACE",80,222,-88,"SGL SHOT"
"LK-0975","SURFACE",130,217.5,-87.8,"SGL SHOT"
"LK-0975","SURFACE",180,223.9,-87.8,"SGL SHOT"
"LK-0975","SURFACE",230,222.7,-88.2,"SGL SHOT"
"LK-0975","SURFACE",280,229.4,-88.1,"SGL SHOT"
"LK-0976","SURFACE",0,271.3,-90,"SET-UP"
"LK-0976","SURFACE",70,271.3,-89,"TRO-PARI"
"LK-0976","SURFACE",136,289.3,-89,"TRO-PARI"
"LK-0976","SURFACE",202,180.3,-89,"TRO-PARI"
"LK-0977","SURFACE",0,0,-90,"SET-UP"
"LK-0977","SURFACE",90,0,-90,"TRO-PARI"
"LK-0977","SURFACE",145,335.3,-89,"TRO-PARI"
"LK-0977","SURFACE",182,339.3,-89,"TRO-PARI"
"LK-0978","SURFACE",0,320.3,-89,"SGL SHOT"
"LK-0978","SURFACE",58,320.3,-89,"TRO-PARI"
"LK-0978","SURFACE",124,315.3,-89,"TRO-PARI"
"LK-0978","SURFACE",178,327.3,-89,"TRO-PARI"
"LK-0979","SURFACE",0,204.7,-90,"SET-UP"
"LK-0979","SURFACE",73,204.7,-88.6,"SGL SHOT"
"LK-0979","SURFACE",121,197.9,-88.7,"SGL SHOT"
"LK-0979","SURFACE",169,199.4,-87.9,"SGL SHOT"
"LK-0979","SURFACE",217,190.3,-88.8,"SGL SHOT"
"LK-0980","SURFACE",0,38.3,-90,"SET-UP"
"LK-0980","SURFACE",108,38.3,-89,"TRO-PARI"
"LK-0980","SURFACE",213,31.3,-89,"TRO-PARI"
"LK-0981","SURFACE",0,261.2,-90,"SET-UP"
"LK-0981","SURFACE",60,261.2,-88.2,"SGL SHOT"
"LK-0981","SURFACE",115,292.2,-88.5,"SGL SHOT"
"LK-0981","SURFACE",165,273,-88.6,"SGL SHOT"
"LK-0982","SURFACE",0,124.1,-90,"SET-UP"
"LK-0982","SURFACE",50,124.1,-89.3,"SGL SHOT"
"LK-0982","SURFACE",100,122.4,-89.5,"SGL SHOT"
"LK-0982","SURFACE",150,153.6,-89.3,"SGL SHOT"
"LK-0982","SURFACE",200,127.2,-89.6,"SGL SHOT"
"LK-0982","SURFACE",275,139.6,-89.3,"SGL SHOT"
"LK-0983","SURFACE",0,0,-90,"SET-UP"
"LK-0983","SURFACE",112,0,-90,"TRO-PARI"
"LK-0983","SURFACE",148,24.3,-89,"TRO-PARI"
"LK-0983","SURFACE",184,26.3,-89,"TRO-PARI"
"LK-0984","SURFACE",0,33.3,-90,"SET-UP"
"LK-0984","SURFACE",50,33.3,-89,"TRO-PARI"
"LK-0984","SURFACE",100,28.3,-89,"TRO-PARI"
"LK-0984","SURFACE",150,0,-90,"TRO-PARI"
"LK-0984","SURFACE",200,18.3,-89,"TRO-PARI"
"LK-0984","SURFACE",250,23.3,-89,"TRO-PARI"
"LK-0984","SURFACE",286,23.3,-89,"TRO-PARI"
"LK-0985","SURFACE",0,333.5,-90,"SET-UP"
"LK-0985","SURFACE",60,333.5,-89.7,"SGL SHOT"
"LK-0985","SURFACE",110,329.5,-89.3,"SGL SHOT"
"LK-0985","SURFACE",160,345.9,-89.6,"SGL SHOT"
"LK-0985","SURFACE",210,48,-89.7,"SGL SHOT"
"LK-0986","SURFACE",0,318.3,-90,"SET-UP"
"LK-0986","SURFACE",111,318.3,-89,"TRO-PARI"
"LK-0986","SURFACE",148,318.3,-89,"TRO-PARI"
"LK-0986","SURFACE",187,318.3,-89,"TRO-PARI"
"LK-0987","SURFACE",0,109.5,-90,"SET-UP"
"LK-0987","SURFACE",65,109.5,-89.8,"SGL SHOT"
"LK-0987","SURFACE",115,355.7,-89.7,"SGL SHOT"
"LK-0987","SURFACE",165,130.6,-89.7,"SGL SHOT"
"LK-0987","SURFACE",215,284.4,-89.7,"SGL SHOT"
"LK-0987","SURFACE",265,312.6,-89.5,"SGL SHOT"
"LK-0988","SURFACE",0,187,-90,"SET-UP"
"LK-0988","SURFACE",50,187,-89.6,"SGL SHOT"
"LK-0988","SURFACE",100,104.9,-89.7,"SGL SHOT"
"LK-0988","SURFACE",150,120.1,-89.5,"SGL SHOT"
"LK-0988","SURFACE",215,98.5,-89.6,"SGL SHOT"
"LK-0989","SURFACE",0,0,-90,"SET-UP"
"LK-0989","SURFACE",66,0,-90,"TRO-PARI"
"LK-0989","SURFACE",110,112.3,-88,"TRO-PARI"
"LK-0989","SURFACE",182,112.3,-88,"TRO-PARI"
"LK-0990","SURFACE",0,359.3,-90,"SET-UP"
"LK-0990","SURFACE",64,359.3,-88,"TRO-PARI"
"LK-0990","SURFACE",136,1.3,-86,"TRO-PARI"
"LK-0990","SURFACE",202,11.3,-86,"TRO-PARI"
"LK-0991","SURFACE",0,190.7,-90,"SET-UP"
"LK-0991","SURFACE",50,190.7,-89.3,"SGL SHOT"
"LK-0991","SURFACE",100,260.3,-89.2,"SGL SHOT"
"LK-0991","SURFACE",140,279.2,-89.3,"SGL SHOT"
"LK-0991","SURFACE",170,258.2,-89.3,"SGL SHOT"
"LK-0992","SURFACE",0,0,-90,"SET-UP"
"LK-0992","SURFACE",67,0,-90,"TRO-PARI"
"LK-0992","SURFACE",139,0,-90,"TRO-PARI"
"LK-0992","SURFACE",211,0,-90,"TRO-PARI"
"LK-0993","SURFACE",0,0,-90,"SET-UP"
"LK-0993","SURFACE",50,0,-90,"TRO-PARI"
"LK-0993","SURFACE",91,78.3,-89,"TRO-PARI"
"LK-0993","SURFACE",133,68.3,-86,"TRO-PARI"
"LK-0993","SURFACE",175,23.3,-88,"TRO-PARI"
"LK-0994","SURFACE",0,274.6,-90,"SET-UP"
"LK-0994","SURFACE",50,274.6,-89.1,"SGL SHOT"
"LK-0994","SURFACE",100,271.1,-89.2,"SGL SHOT"
"LK-0994","SURFACE",155,262.7,-89.5,"SGL SHOT"
"LK-0995","SURFACE",0,193.2,-90,"SET-UP"
"LK-0995","SURFACE",50,193.2,-89.4,"SGL SHOT"
"LK-0995","SURFACE",100,232.5,-89.4,"SGL SHOT"
"LK-0995","SURFACE",160,266.3,-89,"SGL SHOT"
"LK-0995","SURFACE",210,171.2,-89.5,"SGL SHOT"
"LK-0996","SURFACE",0,0,-90,"SET-UP"
"LK-0996","SURFACE",20,7.4,-89.2,"SGL SHOT"
"LK-0996","SURFACE",70,7,-89.2,"SGL SHOT"
"LK-0996","SURFACE",120,49.4,-88.9,"SGL SHOT"
"LK-0996","SURFACE",170,2.2,-88.8,"SGL SHOT"
"LK-0996","SURFACE",220,24.5,-88.5,"SGL SHOT"
"LK-0997","SURFACE",0,188,-90,"SET-UP"
"LK-0997","SURFACE",180,188,-88.8,"SGL SHOT"
"LK-0997","SURFACE",205,176.4,-88.8,"SGL SHOT"
"LK-0998","SURFACE",0,353.3,-90,"SET-UP"
"LK-0998","SURFACE",66,353.3,-89,"TRO-PARI"
"LK-0998","SURFACE",136,353.3,-89,"TRO-PARI"
"LK-0998","SURFACE",205,353.3,-88,"TRO-PARI"
"LK-0999","SURFACE",0,297.3,-90,"SET-UP"
"LK-0999","SURFACE",50,297.3,-88,"TRO-PARI"
"LK-0999","SURFACE",110,297.3,-87,"TRO-PARI"
"LK-0999","SURFACE",180,297.3,-88,"TRO-PARI"
"LK-1000","SURFACE",0,273.3,-90,"SET-UP"
"LK-1000","SURFACE",60,273.3,-90,"TRO-PARI"
"LK-1000","SURFACE",110,148.3,-89,"TRO-PARI"
"LK-1000","SURFACE",160,133.3,-89,"TRO-PARI"
"LK-1000","SURFACE",214,108.3,-89,"TRO-PARI"
"LK-1001","SURFACE",0,206.3,-90,"SET-UP"
"LK-1001","SURFACE",76,206.3,-89,"TRO-PARI"
"LK-1001","SURFACE",133,335.3,-90,"TRO-PARI"
"LK-1001","SURFACE",187,333.3,-90,"TRO-PARI"
"LK-1002","SURFACE",0,236.9,-90,"SET-UP"
"LK-1002","SURFACE",50,236.9,-88.9,"SGL SHOT"
"LK-1002","SURFACE",100,269.8,-89.6,"SGL SHOT"
"LK-1002","SURFACE",160,242.9,-89.8,"SGL SHOT"
"LK-1002","SURFACE",230,254.4,-89.3,"SGL SHOT"
"LK-1003","SURFACE",0,216,-90,"SET-UP"
"LK-1003","SURFACE",50,216,-89,"SGL SHOT"
"LK-1003","SURFACE",100,194.4,-89.4,"SGL SHOT"
"LK-1003","SURFACE",150,228.7,-89.1,"SGL SHOT"
"LK-1003","SURFACE",217,233.4,-89,"SGL SHOT"
"LK-1004","SURFACE",0,102.5,-90,"SET-UP"
"LK-1004","SURFACE",50,102.5,-89.3,"SGL SHOT"
"LK-1004","SURFACE",100,215.2,-89.3,"SGL SHOT"
"LK-1004","SURFACE",150,56.7,-89.7,"SGL SHOT"
"LK-1004","SURFACE",213,144.9,-89.4,"SGL SHOT"
"LK-1005","SURFACE",0,332.5,-90,"SET-UP"
"LK-1005","SURFACE",86,332.5,-89.9,"SGL SHOT"
"LK-1005","SURFACE",136,341.1,-89.4,"SGL SHOT"
"LK-1005","SURFACE",186,218.1,-89.9,"SGL SHOT"
"LK-1005","SURFACE",236,57.5,-89.3,"SGL SHOT"
